REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2008/1/1 0:30,7767.6,26.66,TRADE
NSW1,2008/1/1 1:00,7516.08,24.75,TRADE
NSW1,2008/1/1 1:30,7140.78,25.07,TRADE
NSW1,2008/1/1 2:00,6781.78,24.94,TRADE
NSW1,2008/1/1 2:30,6544.73,23.78,TRADE
NSW1,2008/1/1 3:00,6376.97,21,TRADE
NSW1,2008/1/1 3:30,6228.76,19.62,TRADE
NSW1,2008/1/1 4:00,6122.14,15.81,TRADE
NSW1,2008/1/1 4:30,6121.98,17.78,TRADE
NSW1,2008/1/1 5:00,6078.71,16.55,TRADE
NSW1,2008/1/1 5:30,6121.64,17.51,TRADE
NSW1,2008/1/1 6:00,6229.92,18.45,TRADE
NSW1,2008/1/1 6:30,6377.99,19.66,TRADE
NSW1,2008/1/1 7:00,6630.34,20,TRADE
NSW1,2008/1/1 7:30,6900.02,19.71,TRADE
NSW1,2008/1/1 8:00,7172.56,20.94,TRADE
NSW1,2008/1/1 8:30,7463.28,20.5,TRADE
NSW1,2008/1/1 9:00,7698.77,20.72,TRADE
NSW1,2008/1/1 9:30,7942.73,21,TRADE
NSW1,2008/1/1 10:00,8113.22,22.78,TRADE
NSW1,2008/1/1 10:30,8294.56,26.55,TRADE
NSW1,2008/1/1 11:00,8451.14,31.02,TRADE
NSW1,2008/1/1 11:30,8542.46,34.58,TRADE
NSW1,2008/1/1 12:00,8629.24,34.33,TRADE
NSW1,2008/1/1 12:30,8658.49,32.12,TRADE
NSW1,2008/1/1 13:00,8697.97,35,TRADE
NSW1,2008/1/1 13:30,8802.36,35,TRADE
NSW1,2008/1/1 14:00,8833.77,34.7,TRADE
NSW1,2008/1/1 14:30,8892.45,33.17,TRADE
NSW1,2008/1/1 15:00,8949.26,32.26,TRADE
NSW1,2008/1/1 15:30,8983.29,33.53,TRADE
NSW1,2008/1/1 16:00,9064.86,40.35,TRADE
NSW1,2008/1/1 16:30,9140.04,36.24,TRADE
NSW1,2008/1/1 17:00,9226.07,42.17,TRADE
NSW1,2008/1/1 17:30,9159.59,31.06,TRADE
NSW1,2008/1/1 18:00,9036.32,32.11,TRADE
NSW1,2008/1/1 18:30,8850.16,28,TRADE
NSW1,2008/1/1 19:00,8657.79,27.34,TRADE
NSW1,2008/1/1 19:30,8587.08,25.13,TRADE
NSW1,2008/1/1 20:00,8658.7,26.46,TRADE
NSW1,2008/1/1 20:30,8564.32,24.12,TRADE
NSW1,2008/1/1 21:00,8327.97,21.25,TRADE
NSW1,2008/1/1 21:30,8294.47,20.83,TRADE
NSW1,2008/1/1 22:00,8106.12,19.18,TRADE
NSW1,2008/1/1 22:30,8027.06,22.02,TRADE
NSW1,2008/1/1 23:00,7830.96,20.95,TRADE
NSW1,2008/1/1 23:30,7672.99,21,TRADE
NSW1,2008/1/2 0:00,7504.05,20.83,TRADE
NSW1,2008/1/2 0:30,7285.52,19.98,TRADE
NSW1,2008/1/2 1:00,7042.94,19.98,TRADE
NSW1,2008/1/2 1:30,6752.32,20.03,TRADE
NSW1,2008/1/2 2:00,6472.4,18.27,TRADE
NSW1,2008/1/2 2:30,6304.34,14.61,TRADE
NSW1,2008/1/2 3:00,6265.09,15.5,TRADE
NSW1,2008/1/2 3:30,6229.64,14.12,TRADE
NSW1,2008/1/2 4:00,6255.13,16.2,TRADE
NSW1,2008/1/2 4:30,6459.5,18.09,TRADE
NSW1,2008/1/2 5:00,6589.23,19.79,TRADE
NSW1,2008/1/2 5:30,6906.22,20.9,TRADE
NSW1,2008/1/2 6:00,7280.12,20.28,TRADE
NSW1,2008/1/2 6:30,7598.16,21.71,TRADE
NSW1,2008/1/2 7:00,8041.98,20.83,TRADE
NSW1,2008/1/2 7:30,8462.92,20.82,TRADE
NSW1,2008/1/2 8:00,8854.11,23.02,TRADE
NSW1,2008/1/2 8:30,9265.61,34.37,TRADE
NSW1,2008/1/2 9:00,9494.32,33.15,TRADE
NSW1,2008/1/2 9:30,9656.76,33.48,TRADE
NSW1,2008/1/2 10:00,9754.07,33.65,TRADE
NSW1,2008/1/2 10:30,9879.1,39.64,TRADE
NSW1,2008/1/2 11:00,10021.9,42.66,TRADE
NSW1,2008/1/2 11:30,10067.73,42.76,TRADE
NSW1,2008/1/2 12:00,10195.88,43.27,TRADE
NSW1,2008/1/2 12:30,10284.13,43.46,TRADE
NSW1,2008/1/2 13:00,10391.96,44.16,TRADE
NSW1,2008/1/2 13:30,10485.34,44.55,TRADE
NSW1,2008/1/2 14:00,10571.71,44.54,TRADE
NSW1,2008/1/2 14:30,10635.35,44.89,TRADE
NSW1,2008/1/2 15:00,10718.24,45.43,TRADE
NSW1,2008/1/2 15:30,10777.78,45.45,TRADE
NSW1,2008/1/2 16:00,10791.48,45.26,TRADE
NSW1,2008/1/2 16:30,10716.57,45.18,TRADE
NSW1,2008/1/2 17:00,10574.47,45.55,TRADE
NSW1,2008/1/2 17:30,10227.73,35.07,TRADE
NSW1,2008/1/2 18:00,10002.78,33.64,TRADE
NSW1,2008/1/2 18:30,9655.28,27.89,TRADE
NSW1,2008/1/2 19:00,9419.67,21.88,TRADE
NSW1,2008/1/2 19:30,9331.85,21.32,TRADE
NSW1,2008/1/2 20:00,9369.69,27.84,TRADE
NSW1,2008/1/2 20:30,9229.62,28.82,TRADE
NSW1,2008/1/2 21:00,8890.07,23.59,TRADE
NSW1,2008/1/2 21:30,8918,23.03,TRADE
NSW1,2008/1/2 22:00,8547.37,20.67,TRADE
NSW1,2008/1/2 22:30,8588.86,22.06,TRADE
NSW1,2008/1/2 23:00,8376.06,23.77,TRADE
NSW1,2008/1/2 23:30,8154.71,26.52,TRADE
NSW1,2008/1/3 0:00,7961.44,25.55,TRADE
NSW1,2008/1/3 0:30,7733.99,22.46,TRADE
NSW1,2008/1/3 1:00,7466.35,21,TRADE
NSW1,2008/1/3 1:30,7148.08,21.42,TRADE
NSW1,2008/1/3 2:00,6803.41,20.15,TRADE
NSW1,2008/1/3 2:30,6624.41,19.97,TRADE
NSW1,2008/1/3 3:00,6507.7,19.99,TRADE
NSW1,2008/1/3 3:30,6471.72,20.06,TRADE
NSW1,2008/1/3 4:00,6512.59,20,TRADE
NSW1,2008/1/3 4:30,6628.9,19.98,TRADE
NSW1,2008/1/3 5:00,6818.23,20,TRADE
NSW1,2008/1/3 5:30,7176.78,20.89,TRADE
NSW1,2008/1/3 6:00,7529.31,20,TRADE
NSW1,2008/1/3 6:30,7894.82,21.4,TRADE
NSW1,2008/1/3 7:00,8337.38,21.03,TRADE
NSW1,2008/1/3 7:30,8711.68,20.86,TRADE
NSW1,2008/1/3 8:00,9050.3,24.05,TRADE
NSW1,2008/1/3 8:30,9465.76,33.15,TRADE
NSW1,2008/1/3 9:00,9630.58,33.72,TRADE
NSW1,2008/1/3 9:30,9755.02,33.9,TRADE
NSW1,2008/1/3 10:00,9769.82,33.33,TRADE
NSW1,2008/1/3 10:30,9819.61,33.41,TRADE
NSW1,2008/1/3 11:00,9903.27,37.53,TRADE
NSW1,2008/1/3 11:30,9875.14,37.28,TRADE
NSW1,2008/1/3 12:00,9911.4,34.7,TRADE
NSW1,2008/1/3 12:30,9948.09,38.38,TRADE
NSW1,2008/1/3 13:00,9964.31,37.23,TRADE
NSW1,2008/1/3 13:30,9947.91,42.85,TRADE
NSW1,2008/1/3 14:00,9973.47,53.92,TRADE
NSW1,2008/1/3 14:30,9996.43,54.38,TRADE
NSW1,2008/1/3 15:00,9980.88,44.53,TRADE
NSW1,2008/1/3 15:30,10037.86,52.74,TRADE
NSW1,2008/1/3 16:00,10097.99,61.34,TRADE
NSW1,2008/1/3 16:30,10049.77,62.46,TRADE
NSW1,2008/1/3 17:00,10054.99,71.94,TRADE
NSW1,2008/1/3 17:30,9791.93,61.27,TRADE
NSW1,2008/1/3 18:00,9599.21,46.47,TRADE
NSW1,2008/1/3 18:30,9357.1,41.51,TRADE
NSW1,2008/1/3 19:00,9190.93,41.45,TRADE
NSW1,2008/1/3 19:30,9186.8,41.37,TRADE
NSW1,2008/1/3 20:00,9247.99,40.38,TRADE
NSW1,2008/1/3 20:30,9025.41,35.02,TRADE
NSW1,2008/1/3 21:00,8685.13,28.86,TRADE
NSW1,2008/1/3 21:30,8720.29,27.18,TRADE
NSW1,2008/1/3 22:00,8597.95,25.03,TRADE
NSW1,2008/1/3 22:30,8515.11,31.57,TRADE
NSW1,2008/1/3 23:00,8269.37,33.66,TRADE
NSW1,2008/1/3 23:30,8038.28,29.23,TRADE
NSW1,2008/1/4 0:00,7861.26,27.48,TRADE
NSW1,2008/1/4 0:30,7630.22,22.07,TRADE
NSW1,2008/1/4 1:00,7415.57,20.94,TRADE
NSW1,2008/1/4 1:30,7038.45,20.83,TRADE
NSW1,2008/1/4 2:00,6738.33,19.87,TRADE
NSW1,2008/1/4 2:30,6556.69,19.93,TRADE
NSW1,2008/1/4 3:00,6486.18,19.96,TRADE
NSW1,2008/1/4 3:30,6468.22,19.98,TRADE
NSW1,2008/1/4 4:00,6503.67,20.48,TRADE
NSW1,2008/1/4 4:30,6651.24,20,TRADE
NSW1,2008/1/4 5:00,6791.83,20.33,TRADE
NSW1,2008/1/4 5:30,7166.18,22.75,TRADE
NSW1,2008/1/4 6:00,7571.48,28.05,TRADE
NSW1,2008/1/4 6:30,7910.27,32.46,TRADE
NSW1,2008/1/4 7:00,8298.72,33.33,TRADE
NSW1,2008/1/4 7:30,8685.48,29.11,TRADE
NSW1,2008/1/4 8:00,9097.81,41.02,TRADE
NSW1,2008/1/4 8:30,9421.1,44.62,TRADE
NSW1,2008/1/4 9:00,9594.07,47.21,TRADE
NSW1,2008/1/4 9:30,9707.58,70.77,TRADE
NSW1,2008/1/4 10:00,9772.51,76,TRADE
NSW1,2008/1/4 10:30,9787.33,82.74,TRADE
NSW1,2008/1/4 11:00,9818.1,84.22,TRADE
NSW1,2008/1/4 11:30,9751.09,63.66,TRADE
NSW1,2008/1/4 12:00,9735.87,68.59,TRADE
NSW1,2008/1/4 12:30,9781.07,73.99,TRADE
NSW1,2008/1/4 13:00,9836.38,88.05,TRADE
NSW1,2008/1/4 13:30,9785.67,88.86,TRADE
NSW1,2008/1/4 14:00,9865.1,91.99,TRADE
NSW1,2008/1/4 14:30,9865.67,98.67,TRADE
NSW1,2008/1/4 15:00,9919.85,91.16,TRADE
NSW1,2008/1/4 15:30,9842.14,74.33,TRADE
NSW1,2008/1/4 16:00,9826.6,69.91,TRADE
NSW1,2008/1/4 16:30,9799.08,78.5,TRADE
NSW1,2008/1/4 17:00,9648.07,72.62,TRADE
