REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2013/1/1 0:30,7166.97,46.61,TRADE
NSW1,2013/1/1 1:00,6928.11,46.32,TRADE
NSW1,2013/1/1 1:30,6541.21,44.76,TRADE
NSW1,2013/1/1 2:00,6253.6,42.86,TRADE
NSW1,2013/1/1 2:30,6003.44,42.86,TRADE
NSW1,2013/1/1 3:00,5838.95,42.82,TRADE
NSW1,2013/1/1 3:30,5740.95,38.67,TRADE
NSW1,2013/1/1 4:00,5669.57,40.03,TRADE
NSW1,2013/1/1 4:30,5682.72,41.36,TRADE
NSW1,2013/1/1 5:00,5622.05,39.57,TRADE
NSW1,2013/1/1 5:30,5641.45,40.74,TRADE
NSW1,2013/1/1 6:00,5697.65,38.94,TRADE
NSW1,2013/1/1 6:30,5795.18,42.21,TRADE
NSW1,2013/1/1 7:00,5970.54,44.58,TRADE
NSW1,2013/1/1 7:30,6210.31,44.98,TRADE
NSW1,2013/1/1 8:00,6446.44,44.85,TRADE
NSW1,2013/1/1 8:30,6685.85,44.93,TRADE
NSW1,2013/1/1 9:00,6935.52,44.85,TRADE
NSW1,2013/1/1 9:30,7181.91,44.85,TRADE
NSW1,2013/1/1 10:00,7419.87,45.4,TRADE
NSW1,2013/1/1 10:30,7632.07,46.01,TRADE
NSW1,2013/1/1 11:00,7836.46,46.1,TRADE
NSW1,2013/1/1 11:30,8028.11,46.17,TRADE
NSW1,2013/1/1 12:00,8191.96,48.03,TRADE
NSW1,2013/1/1 12:30,8304.6,48.8,TRADE
NSW1,2013/1/1 13:00,8318.54,48.29,TRADE
NSW1,2013/1/1 13:30,8336.16,48.99,TRADE
NSW1,2013/1/1 14:00,8416.56,49.5,TRADE
NSW1,2013/1/1 14:30,8484.89,49.65,TRADE
NSW1,2013/1/1 15:00,8603.44,49.81,TRADE
NSW1,2013/1/1 15:30,8676.97,49.93,TRADE
NSW1,2013/1/1 16:00,8729.66,49.81,TRADE
NSW1,2013/1/1 16:30,8790.02,49.99,TRADE
NSW1,2013/1/1 17:00,8840.88,49.93,TRADE
NSW1,2013/1/1 17:30,8779.21,49.83,TRADE
NSW1,2013/1/1 18:00,8682.72,49.18,TRADE
