REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2008/1/1 0:30,5171.41,22.99,TRADE
QLD1,2008/1/1 1:00,5045.65,21.29,TRADE
QLD1,2008/1/1 1:30,4885.62,21.46,TRADE
QLD1,2008/1/1 2:00,4753.47,20.72,TRADE
QLD1,2008/1/1 2:30,4630.89,19.13,TRADE
QLD1,2008/1/1 3:00,4538.21,17.51,TRADE
QLD1,2008/1/1 3:30,4471.09,16.32,TRADE
QLD1,2008/1/1 4:00,4430.17,13.18,TRADE
QLD1,2008/1/1 4:30,4425.91,14.84,TRADE
QLD1,2008/1/1 5:00,4427.46,13.89,TRADE
QLD1,2008/1/1 5:30,4426.08,14.73,TRADE
QLD1,2008/1/1 6:00,4447.33,15.49,TRADE
QLD1,2008/1/1 6:30,4547.07,15.15,TRADE
QLD1,2008/1/1 7:00,4650.59,14.44,TRADE
QLD1,2008/1/1 7:30,4862.44,16.54,TRADE
QLD1,2008/1/1 8:00,5050.25,17.96,TRADE
QLD1,2008/1/1 8:30,5265.48,18.19,TRADE
QLD1,2008/1/1 9:00,5441.33,18.76,TRADE
QLD1,2008/1/1 9:30,5568.15,19.05,TRADE
QLD1,2008/1/1 10:00,5668.38,20.59,TRADE
QLD1,2008/1/1 10:30,5756.21,23.6,TRADE
QLD1,2008/1/1 11:00,5792.23,26.83,TRADE
QLD1,2008/1/1 11:30,5862.19,30.11,TRADE
QLD1,2008/1/1 12:00,5863.6,29.53,TRADE
QLD1,2008/1/1 12:30,5901,26.73,TRADE
QLD1,2008/1/1 13:00,5881.86,27.98,TRADE
QLD1,2008/1/1 13:30,5900.96,28.42,TRADE
QLD1,2008/1/1 14:00,5911.03,28.26,TRADE
QLD1,2008/1/1 14:30,5895.43,27.93,TRADE
QLD1,2008/1/1 15:00,5869.54,27.24,TRADE
QLD1,2008/1/1 15:30,5879.92,27.93,TRADE
QLD1,2008/1/1 16:00,5891.37,26.89,TRADE
QLD1,2008/1/1 16:30,5935.95,30.44,TRADE
QLD1,2008/1/1 17:00,5976.12,34.23,TRADE
QLD1,2008/1/1 17:30,6031.19,27.51,TRADE
QLD1,2008/1/1 18:00,6137.49,28.37,TRADE
QLD1,2008/1/1 18:30,6017.46,24.43,TRADE
QLD1,2008/1/1 19:00,6016.24,23.88,TRADE
QLD1,2008/1/1 19:30,6082.22,22.68,TRADE
QLD1,2008/1/1 20:00,6041.12,23.86,TRADE
QLD1,2008/1/1 20:30,5949.01,21.83,TRADE
QLD1,2008/1/1 21:00,5837.65,19.34,TRADE
QLD1,2008/1/1 21:30,5844.17,19.47,TRADE
QLD1,2008/1/1 22:00,5656.96,17.85,TRADE
QLD1,2008/1/1 22:30,5533.18,20.74,TRADE
QLD1,2008/1/1 23:00,5413.85,19.81,TRADE
QLD1,2008/1/1 23:30,5311.01,19.61,TRADE
QLD1,2008/1/2 0:00,5165.6,18.98,TRADE
QLD1,2008/1/2 0:30,4963.07,17.7,TRADE
QLD1,2008/1/2 1:00,4831.03,17.45,TRADE
QLD1,2008/1/2 1:30,4680.2,17.33,TRADE
QLD1,2008/1/2 2:00,4578.25,15.88,TRADE
QLD1,2008/1/2 2:30,4478.26,12.71,TRADE
QLD1,2008/1/2 3:00,4435.25,13.23,TRADE
QLD1,2008/1/2 3:30,4472.64,12.17,TRADE
QLD1,2008/1/2 4:00,4476.13,13.93,TRADE
QLD1,2008/1/2 4:30,4500.01,15.55,TRADE
QLD1,2008/1/2 5:00,4535.85,16.87,TRADE
QLD1,2008/1/2 5:30,4612.55,17.89,TRADE
QLD1,2008/1/2 6:00,4709.72,17.19,TRADE
QLD1,2008/1/2 6:30,5009.99,18.64,TRADE
QLD1,2008/1/2 7:00,5337.89,18.27,TRADE
QLD1,2008/1/2 7:30,5680.56,18.71,TRADE
QLD1,2008/1/2 8:00,5961.86,20.86,TRADE
QLD1,2008/1/2 8:30,6263.6,30.89,TRADE
QLD1,2008/1/2 9:00,6452.9,29.56,TRADE
QLD1,2008/1/2 9:30,6593.14,29.47,TRADE
QLD1,2008/1/2 10:00,6628.34,29.27,TRADE
QLD1,2008/1/2 10:30,6670.72,33.98,TRADE
QLD1,2008/1/2 11:00,6729.03,35.76,TRADE
QLD1,2008/1/2 11:30,6752.48,36.52,TRADE
QLD1,2008/1/2 12:00,6748.57,36.5,TRADE
QLD1,2008/1/2 12:30,6744,32.74,TRADE
QLD1,2008/1/2 13:00,6755.91,37.08,TRADE
QLD1,2008/1/2 13:30,6752.66,37.47,TRADE
QLD1,2008/1/2 14:00,6728.84,38.16,TRADE
QLD1,2008/1/2 14:30,6738.35,38.73,TRADE
QLD1,2008/1/2 15:00,6773.54,39.52,TRADE
QLD1,2008/1/2 15:30,6773.68,39.34,TRADE
QLD1,2008/1/2 16:00,6776.84,38.91,TRADE
QLD1,2008/1/2 16:30,6755.78,39.02,TRADE
