REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2013/1/1 0:30,5260.28,44.51,TRADE
QLD1,2013/1/1 1:00,5154.6,43.75,TRADE
QLD1,2013/1/1 1:30,4983.32,41.63,TRADE
QLD1,2013/1/1 2:00,4881.88,39.78,TRADE
QLD1,2013/1/1 2:30,4776.31,38.97,TRADE
QLD1,2013/1/1 3:00,4710.08,38.63,TRADE
QLD1,2013/1/1 3:30,4646.55,35.27,TRADE
QLD1,2013/1/1 4:00,4605.58,37,TRADE
QLD1,2013/1/1 4:30,4613.65,37.66,TRADE
QLD1,2013/1/1 5:00,4608.45,36.11,TRADE
QLD1,2013/1/1 5:30,4562.33,37.23,TRADE
QLD1,2013/1/1 6:00,4542.9,35.94,TRADE
QLD1,2013/1/1 6:30,4610.24,38.68,TRADE
QLD1,2013/1/1 7:00,4766.48,41.1,TRADE
QLD1,2013/1/1 7:30,4925.59,42.35,TRADE
QLD1,2013/1/1 8:00,5046.04,42.91,TRADE
QLD1,2013/1/1 8:30,5177.32,43.44,TRADE
QLD1,2013/1/1 9:00,5318.28,44.29,TRADE
QLD1,2013/1/1 9:30,5400.97,44.48,TRADE
QLD1,2013/1/1 10:00,5489.88,45.4,TRADE
QLD1,2013/1/1 10:30,5537.92,48.65,TRADE
QLD1,2013/1/1 11:00,5569.24,49.46,TRADE
QLD1,2013/1/1 11:30,5617.82,49.62,TRADE
QLD1,2013/1/1 12:00,5710.22,61.57,TRADE
QLD1,2013/1/1 12:30,5731.34,53.9,TRADE
QLD1,2013/1/1 13:00,5810.62,45.93,TRADE
QLD1,2013/1/1 13:30,5887.3,52.81,TRADE
QLD1,2013/1/1 14:00,5951.3,56.13,TRADE
QLD1,2013/1/1 14:30,5991.57,51.17,TRADE
QLD1,2013/1/1 15:00,6011.28,49.12,TRADE
QLD1,2013/1/1 15:30,6098.16,73.56,TRADE
QLD1,2013/1/1 16:00,6094.86,51.05,TRADE
QLD1,2013/1/1 16:30,6133.89,53.82,TRADE
QLD1,2013/1/1 17:00,6153.17,62.53,TRADE
