REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2008/1/1 0:30,1882.33,44.77,TRADE
SA1,2008/1/1 1:00,1790.94,41.62,TRADE
SA1,2008/1/1 1:30,1686.16,87.81,TRADE
SA1,2008/1/1 2:00,1633.41,37.95,TRADE
SA1,2008/1/1 2:30,1563.37,34.33,TRADE
SA1,2008/1/1 3:00,1502.31,30.22,TRADE
SA1,2008/1/1 3:30,1450.64,25.8,TRADE
SA1,2008/1/1 4:00,1419.77,19.35,TRADE
SA1,2008/1/1 4:30,1383.86,20.95,TRADE
SA1,2008/1/1 5:00,1396.66,19.59,TRADE
SA1,2008/1/1 5:30,1389.93,20.58,TRADE
SA1,2008/1/1 6:00,1369.03,21.53,TRADE
SA1,2008/1/1 6:30,1365.04,23.15,TRADE
SA1,2008/1/1 7:00,1420.91,24.07,TRADE
SA1,2008/1/1 7:30,1455.3,23.58,TRADE
SA1,2008/1/1 8:00,1510.47,27.29,TRADE
SA1,2008/1/1 8:30,1615.01,32.48,TRADE
SA1,2008/1/1 9:00,1693.39,29.97,TRADE
SA1,2008/1/1 9:30,1790.06,44.09,TRADE
SA1,2008/1/1 10:00,1889.34,98.77,TRADE
SA1,2008/1/1 10:30,1959.22,111.11,TRADE
SA1,2008/1/1 11:00,2039.49,108.1,TRADE
SA1,2008/1/1 11:30,2108.51,160.24,TRADE
SA1,2008/1/1 12:00,2155.97,153.43,TRADE
SA1,2008/1/1 12:30,2174.34,264.83,TRADE
SA1,2008/1/1 13:00,2194.77,115.61,TRADE
SA1,2008/1/1 13:30,2204.74,88.46,TRADE
SA1,2008/1/1 14:00,2205.3,75.5,TRADE
SA1,2008/1/1 14:30,2198.56,111.68,TRADE
SA1,2008/1/1 15:00,2202.62,49.77,TRADE
SA1,2008/1/1 15:30,2187.04,148.77,TRADE
SA1,2008/1/1 16:00,2172.37,263.47,TRADE
SA1,2008/1/1 16:30,2191.89,349.98,TRADE
SA1,2008/1/1 17:00,2214.13,224.4,TRADE
SA1,2008/1/1 17:30,2209.8,173.88,TRADE
SA1,2008/1/1 18:00,2151.36,175.68,TRADE
SA1,2008/1/1 18:30,2087.67,43.85,TRADE
SA1,2008/1/1 19:00,1999.56,171.64,TRADE
SA1,2008/1/1 19:30,1890.57,34.79,TRADE
SA1,2008/1/1 20:00,1797.57,33.32,TRADE
SA1,2008/1/1 20:30,1734.81,29.42,TRADE
SA1,2008/1/1 21:00,1693.34,29.27,TRADE
SA1,2008/1/1 21:30,1629.3,25.3,TRADE
SA1,2008/1/1 22:00,1552.26,21.16,TRADE
SA1,2008/1/1 22:30,1472.55,23.04,TRADE
SA1,2008/1/1 23:00,1428.73,21.44,TRADE
SA1,2008/1/1 23:30,1404.07,22.15,TRADE
SA1,2008/1/2 0:00,1525.72,23.47,TRADE
SA1,2008/1/2 0:30,1466.09,21.31,TRADE
SA1,2008/1/2 1:00,1397.97,20.26,TRADE
SA1,2008/1/2 1:30,1328.36,20.49,TRADE
SA1,2008/1/2 2:00,1256.69,17.88,TRADE
SA1,2008/1/2 2:30,1221.42,13.76,TRADE
SA1,2008/1/2 3:00,1196.82,14.33,TRADE
SA1,2008/1/2 3:30,1180.66,12.99,TRADE
SA1,2008/1/2 4:00,1153.43,14.63,TRADE
SA1,2008/1/2 4:30,1151.27,15.07,TRADE
SA1,2008/1/2 5:00,1165.39,16.98,TRADE
SA1,2008/1/2 5:30,1178.77,19.56,TRADE
SA1,2008/1/2 6:00,1191.62,19.28,TRADE
SA1,2008/1/2 6:30,1240.83,21.93,TRADE
SA1,2008/1/2 7:00,1311.54,21.87,TRADE
SA1,2008/1/2 7:30,1345.45,21.11,TRADE
SA1,2008/1/2 8:00,1389.81,23.59,TRADE
SA1,2008/1/2 8:30,1472.79,35.82,TRADE
SA1,2008/1/2 9:00,1536.02,34.63,TRADE
SA1,2008/1/2 9:30,1576.52,35.52,TRADE
SA1,2008/1/2 10:00,1637.53,36.5,TRADE
SA1,2008/1/2 10:30,1671.83,45.16,TRADE
SA1,2008/1/2 11:00,1692.74,49.19,TRADE
SA1,2008/1/2 11:30,1721.43,47.78,TRADE
SA1,2008/1/2 12:00,1728.82,46.95,TRADE
SA1,2008/1/2 12:30,1745.12,46.72,TRADE
SA1,2008/1/2 13:00,1770.98,46.88,TRADE
SA1,2008/1/2 13:30,1781.57,46.81,TRADE
SA1,2008/1/2 14:00,1815.46,47.08,TRADE
SA1,2008/1/2 14:30,1814.42,46.89,TRADE
SA1,2008/1/2 15:00,1800.58,47,TRADE
SA1,2008/1/2 15:30,1797.43,46.47,TRADE
SA1,2008/1/2 16:00,1798.59,45.41,TRADE
SA1,2008/1/2 16:30,1785.92,44.53,TRADE
SA1,2008/1/2 17:00,1757.98,43.72,TRADE
SA1,2008/1/2 17:30,1694.04,33.5,TRADE
SA1,2008/1/2 18:00,1625.62,30.15,TRADE
SA1,2008/1/2 18:30,1544.49,23.16,TRADE
SA1,2008/1/2 19:00,1497.94,14.48,TRADE
SA1,2008/1/2 19:30,1421.87,19.1,TRADE
SA1,2008/1/2 20:00,1394.96,26.11,TRADE
SA1,2008/1/2 20:30,1404.04,28.23,TRADE
SA1,2008/1/2 21:00,1417.78,23.45,TRADE
SA1,2008/1/2 21:30,1387.89,22.08,TRADE
SA1,2008/1/2 22:00,1346.66,19.59,TRADE
SA1,2008/1/2 22:30,1287.12,20.24,TRADE
SA1,2008/1/2 23:00,1266.48,21.83,TRADE
SA1,2008/1/2 23:30,1257.67,25.52,TRADE
SA1,2008/1/3 0:00,1387.3,26.55,TRADE
SA1,2008/1/3 0:30,1350.36,22.27,TRADE
SA1,2008/1/3 1:00,1269.85,19.71,TRADE
SA1,2008/1/3 1:30,1150.79,20.62,TRADE
SA1,2008/1/3 2:00,1069.74,18.97,TRADE
SA1,2008/1/3 2:30,1010.63,18.18,TRADE
SA1,2008/1/3 3:00,977.85,17.75,TRADE
SA1,2008/1/3 3:30,963.92,17.61,TRADE
SA1,2008/1/3 4:00,959.72,17.44,TRADE
SA1,2008/1/3 4:30,945.69,17.37,TRADE
SA1,2008/1/3 5:00,946.76,17.71,TRADE
SA1,2008/1/3 5:30,980.64,18.75,TRADE
