REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2013/1/1 0:30,1514.07,46.81,TRADE
SA1,2013/1/1 1:00,1446.95,46.06,TRADE
SA1,2013/1/1 1:30,1338.02,43.93,TRADE
SA1,2013/1/1 2:00,1258.22,42.55,TRADE
SA1,2013/1/1 2:30,1240.19,42.24,TRADE
SA1,2013/1/1 3:00,1207.32,41.02,TRADE
SA1,2013/1/1 3:30,1180.57,36.63,TRADE
SA1,2013/1/1 4:00,1175.28,38.02,TRADE
SA1,2013/1/1 4:30,1166.21,39.73,TRADE
SA1,2013/1/1 5:00,1153.6,38.3,TRADE
SA1,2013/1/1 5:30,1144.99,39.06,TRADE
SA1,2013/1/1 6:00,1137.16,35.96,TRADE
SA1,2013/1/1 6:30,1134.18,38.59,TRADE
SA1,2013/1/1 7:00,1144.54,40.05,TRADE
SA1,2013/1/1 7:30,1134.32,39.74,TRADE
SA1,2013/1/1 8:00,1144.64,40.06,TRADE
SA1,2013/1/1 8:30,1161.63,40.55,TRADE
SA1,2013/1/1 9:00,1156.68,40.37,TRADE
SA1,2013/1/1 9:30,1163.29,40.84,TRADE
SA1,2013/1/1 10:00,1183.46,41.35,TRADE
SA1,2013/1/1 10:30,1182.38,41.25,TRADE
SA1,2013/1/1 11:00,1203.31,41.41,TRADE
SA1,2013/1/1 11:30,1231.07,41.57,TRADE
SA1,2013/1/1 12:00,1264.83,41.75,TRADE
SA1,2013/1/1 12:30,1300.88,41.88,TRADE
SA1,2013/1/1 13:00,1310.32,41.81,TRADE
SA1,2013/1/1 13:30,1327.75,41.38,TRADE
SA1,2013/1/1 14:00,1354.21,40.78,TRADE
SA1,2013/1/1 14:30,1378.92,40.37,TRADE
SA1,2013/1/1 15:00,1404.24,40.66,TRADE
SA1,2013/1/1 15:30,1420.16,40.23,TRADE
SA1,2013/1/1 16:00,1482.07,39.78,TRADE
SA1,2013/1/1 16:30,1556.38,41.18,TRADE
SA1,2013/1/1 17:00,1603.32,41.43,TRADE
SA1,2013/1/1 17:30,1645.5,41.16,TRADE
SA1,2013/1/1 18:00,1676.02,40.79,TRADE
SA1,2013/1/1 18:30,1685.63,43.26,TRADE
