REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2008/1/1 0:30,1006.58,31,TRADE
TAS1,2008/1/1 1:00,980.09,30.94,TRADE
TAS1,2008/1/1 1:30,966.46,30.92,TRADE
TAS1,2008/1/1 2:00,990.36,30.93,TRADE
TAS1,2008/1/1 2:30,997.3,30.94,TRADE
TAS1,2008/1/1 3:00,1000.15,30.94,TRADE
TAS1,2008/1/1 3:30,1006.44,31.89,TRADE
TAS1,2008/1/1 4:00,1008.28,34.4,TRADE
TAS1,2008/1/1 4:30,1014.06,30.94,TRADE
TAS1,2008/1/1 5:00,1015.72,30.93,TRADE
TAS1,2008/1/1 5:30,1019.26,30.92,TRADE
TAS1,2008/1/1 6:00,1021.72,30.92,TRADE
TAS1,2008/1/1 6:30,1030.56,30.94,TRADE
TAS1,2008/1/1 7:00,1032.28,30.93,TRADE
TAS1,2008/1/1 7:30,1065.92,30.94,TRADE
TAS1,2008/1/1 8:00,1072.98,30.93,TRADE
TAS1,2008/1/1 8:30,1101.39,30.94,TRADE
TAS1,2008/1/1 9:00,1105.36,30.93,TRADE
TAS1,2008/1/1 9:30,1111.36,30.94,TRADE
TAS1,2008/1/1 10:00,1112.93,30.94,TRADE
TAS1,2008/1/1 10:30,1110.41,30.94,TRADE
TAS1,2008/1/1 11:00,1096.73,30.93,TRADE
TAS1,2008/1/1 11:30,1079.79,30.94,TRADE
TAS1,2008/1/1 12:00,1091.14,30.94,TRADE
TAS1,2008/1/1 12:30,1083.06,30.94,TRADE
TAS1,2008/1/1 13:00,1064.4,30.94,TRADE
TAS1,2008/1/1 13:30,1073.5,30.94,TRADE
TAS1,2008/1/1 14:00,1083.11,30.91,TRADE
TAS1,2008/1/1 14:30,1068.72,30.9,TRADE
TAS1,2008/1/1 15:00,1059.51,30.9,TRADE
TAS1,2008/1/1 15:30,1060.17,30.9,TRADE
TAS1,2008/1/1 16:00,1058.14,30.9,TRADE
TAS1,2008/1/1 16:30,1065.99,30.9,TRADE
TAS1,2008/1/1 17:00,1057.91,30.9,TRADE
TAS1,2008/1/1 17:30,1029.18,34.27,TRADE
TAS1,2008/1/1 18:00,1082.95,30.92,TRADE
TAS1,2008/1/1 18:30,1084.5,30.92,TRADE
TAS1,2008/1/1 19:00,1087.4,30.91,TRADE
TAS1,2008/1/1 19:30,1078.8,30.92,TRADE
TAS1,2008/1/1 20:00,1076.98,30.92,TRADE
TAS1,2008/1/1 20:30,1085.24,30.92,TRADE
TAS1,2008/1/1 21:00,1079.96,30.92,TRADE
TAS1,2008/1/1 21:30,1051.4,30.92,TRADE
TAS1,2008/1/1 22:00,1019.44,30.92,TRADE
TAS1,2008/1/1 22:30,991.5,30.92,TRADE
TAS1,2008/1/1 23:00,969.14,30.92,TRADE
TAS1,2008/1/1 23:30,941.26,30.91,TRADE
TAS1,2008/1/2 0:00,905.5,34.05,TRADE
TAS1,2008/1/2 0:30,981.85,30.93,TRADE
TAS1,2008/1/2 1:00,983.14,30.94,TRADE
TAS1,2008/1/2 1:30,975.61,30.93,TRADE
TAS1,2008/1/2 2:00,944.6,30.92,TRADE
TAS1,2008/1/2 2:30,955.78,30.92,TRADE
TAS1,2008/1/2 3:00,953.69,30.92,TRADE
TAS1,2008/1/2 3:30,935.8,30.92,TRADE
TAS1,2008/1/2 4:00,944.11,30.92,TRADE
TAS1,2008/1/2 4:30,962.54,30.92,TRADE
TAS1,2008/1/2 5:00,981.24,30.92,TRADE
TAS1,2008/1/2 5:30,1018.29,30.93,TRADE
TAS1,2008/1/2 6:00,1048.24,30.92,TRADE
TAS1,2008/1/2 6:30,1089.64,30.92,TRADE
TAS1,2008/1/2 7:00,1125.3,30.92,TRADE
TAS1,2008/1/2 7:30,1148.78,45.32,TRADE
TAS1,2008/1/2 8:00,1147.17,45.32,TRADE
TAS1,2008/1/2 8:30,1163.39,45.32,TRADE
TAS1,2008/1/2 9:00,1155.53,45.32,TRADE
TAS1,2008/1/2 9:30,1125.72,45.32,TRADE
TAS1,2008/1/2 10:00,1112.02,45.32,TRADE
TAS1,2008/1/2 10:30,1120.29,45.32,TRADE
TAS1,2008/1/2 11:00,1123.7,45.32,TRADE
TAS1,2008/1/2 11:30,1126.42,45.32,TRADE
TAS1,2008/1/2 12:00,1127.51,45.32,TRADE
TAS1,2008/1/2 12:30,1119.9,45.32,TRADE
TAS1,2008/1/2 13:00,1093.77,45.32,TRADE
TAS1,2008/1/2 13:30,1080.13,45.32,TRADE
TAS1,2008/1/2 14:00,1101.12,45.32,TRADE
TAS1,2008/1/2 14:30,1100.02,45.32,TRADE
TAS1,2008/1/2 15:00,1085.96,45.32,TRADE
TAS1,2008/1/2 15:30,1087.63,45.32,TRADE
TAS1,2008/1/2 16:00,1103.08,45.32,TRADE
TAS1,2008/1/2 16:30,1111.42,45.32,TRADE
TAS1,2008/1/2 17:00,1117.78,45.32,TRADE
TAS1,2008/1/2 17:30,1107.84,45.32,TRADE
TAS1,2008/1/2 18:00,1098.8,45.32,TRADE
TAS1,2008/1/2 18:30,1091.7,45.32,TRADE
TAS1,2008/1/2 19:00,1071.74,45.32,TRADE
TAS1,2008/1/2 19:30,1074.54,45.32,TRADE
TAS1,2008/1/2 20:00,1085.62,45.32,TRADE
TAS1,2008/1/2 20:30,1101.05,45.32,TRADE
TAS1,2008/1/2 21:00,1127.05,45.32,TRADE
TAS1,2008/1/2 21:30,1104.49,45.32,TRADE
TAS1,2008/1/2 22:00,1067.51,45.32,TRADE
TAS1,2008/1/2 22:30,1032.76,30.93,TRADE
TAS1,2008/1/2 23:00,1034.06,30.94,TRADE
