REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2013/1/1 0:30,777.94,2183.84,TRADE
TAS1,2013/1/1 1:00,856.77,41.31,TRADE
TAS1,2013/1/1 1:30,856.83,39.73,TRADE
TAS1,2013/1/1 2:00,841.16,37.73,TRADE
TAS1,2013/1/1 2:30,849.46,37.75,TRADE
TAS1,2013/1/1 3:00,845.53,37.62,TRADE
TAS1,2013/1/1 3:30,837.77,35.97,TRADE
TAS1,2013/1/1 4:00,839.12,36.36,TRADE
TAS1,2013/1/1 4:30,848.85,37.42,TRADE
TAS1,2013/1/1 5:00,837.76,36.9,TRADE
TAS1,2013/1/1 5:30,835.83,36.93,TRADE
TAS1,2013/1/1 6:00,849.41,36.5,TRADE
TAS1,2013/1/1 6:30,867.28,37.35,TRADE
TAS1,2013/1/1 7:00,892.2,35.47,TRADE
TAS1,2013/1/1 7:30,909.23,35.47,TRADE
TAS1,2013/1/1 8:00,933.26,35.57,TRADE
TAS1,2013/1/1 8:30,936.13,35.6,TRADE
TAS1,2013/1/1 9:00,933.71,35.5,TRADE
TAS1,2013/1/1 9:30,945.59,35.82,TRADE
TAS1,2013/1/1 10:00,948.19,36,TRADE
TAS1,2013/1/1 10:30,932.73,36.33,TRADE
TAS1,2013/1/1 11:00,925.58,36.43,TRADE
TAS1,2013/1/1 11:30,924.09,36.44,TRADE
TAS1,2013/1/1 12:00,916.96,36.44,TRADE
TAS1,2013/1/1 12:30,929.67,36.52,TRADE
TAS1,2013/1/1 13:00,918.36,36.52,TRADE
TAS1,2013/1/1 13:30,922.17,36.19,TRADE
TAS1,2013/1/1 14:00,910.8,36,TRADE
TAS1,2013/1/1 14:30,910.03,36,TRADE
TAS1,2013/1/1 15:00,906.41,35.99,TRADE
TAS1,2013/1/1 15:30,910.76,35.85,TRADE
TAS1,2013/1/1 16:00,922.34,35.37,TRADE
TAS1,2013/1/1 16:30,943.66,35.63,TRADE
TAS1,2013/1/1 17:00,962.82,35.57,TRADE
TAS1,2013/1/1 17:30,948.11,34.23,TRADE
TAS1,2013/1/1 18:00,949.57,34.24,TRADE
TAS1,2013/1/1 18:30,966.57,36.58,TRADE
TAS1,2013/1/1 19:00,968.89,36.34,TRADE
TAS1,2013/1/1 19:30,972.34,37.6,TRADE
