REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2008/1/1 0:30,5903.2,31.4,TRADE
VIC1,2008/1/1 1:00,5707.26,29.74,TRADE
VIC1,2008/1/1 1:30,6037.52,72.99,TRADE
VIC1,2008/1/1 2:00,5687.61,28.83,TRADE
VIC1,2008/1/1 2:30,5360.2,26.85,TRADE
VIC1,2008/1/1 3:00,5161.27,23.13,TRADE
VIC1,2008/1/1 3:30,5037.84,21.07,TRADE
VIC1,2008/1/1 4:00,4937.43,16.63,TRADE
VIC1,2008/1/1 4:30,4915.2,18.38,TRADE
VIC1,2008/1/1 5:00,4869.24,17.11,TRADE
VIC1,2008/1/1 5:30,4841.38,18,TRADE
VIC1,2008/1/1 6:00,4879.34,19,TRADE
VIC1,2008/1/1 6:30,5001.71,20.48,TRADE
VIC1,2008/1/1 7:00,5171.4,21.35,TRADE
VIC1,2008/1/1 7:30,5295.25,21.28,TRADE
VIC1,2008/1/1 8:00,5533.52,25.11,TRADE
VIC1,2008/1/1 8:30,5861.61,31.35,TRADE
VIC1,2008/1/1 9:00,6187.1,26.14,TRADE
VIC1,2008/1/1 9:30,6500.05,38.74,TRADE
VIC1,2008/1/1 10:00,6771.7,82.13,TRADE
VIC1,2008/1/1 10:30,7001.32,87.72,TRADE
VIC1,2008/1/1 11:00,7163.93,80.5,TRADE
VIC1,2008/1/1 11:30,7253.07,64.78,TRADE
VIC1,2008/1/1 12:00,7328.99,82.98,TRADE
VIC1,2008/1/1 12:30,7355.46,86.42,TRADE
VIC1,2008/1/1 13:00,7311.88,76.84,TRADE
VIC1,2008/1/1 13:30,7284.62,60.49,TRADE
VIC1,2008/1/1 14:00,7255.16,52.52,TRADE
VIC1,2008/1/1 14:30,7221.48,39.13,TRADE
VIC1,2008/1/1 15:00,7164.61,37.26,TRADE
VIC1,2008/1/1 15:30,7132.91,38.51,TRADE
VIC1,2008/1/1 16:00,7125.61,61.51,TRADE
VIC1,2008/1/1 16:30,7071.75,45.53,TRADE
VIC1,2008/1/1 17:00,6984.86,47.74,TRADE
VIC1,2008/1/1 17:30,6803.15,33.95,TRADE
VIC1,2008/1/1 18:00,6588.83,35.15,TRADE
VIC1,2008/1/1 18:30,6346.91,30.95,TRADE
VIC1,2008/1/1 19:00,6134.42,30.07,TRADE
VIC1,2008/1/1 19:30,5921.26,26.91,TRADE
VIC1,2008/1/1 20:00,5789.5,28.12,TRADE
VIC1,2008/1/1 20:30,5794.96,25.91,TRADE
VIC1,2008/1/1 21:00,5707.65,22.9,TRADE
VIC1,2008/1/1 21:30,5515.09,21.63,TRADE
VIC1,2008/1/1 22:00,5285,19.08,TRADE
VIC1,2008/1/1 22:30,5103.96,21.46,TRADE
VIC1,2008/1/1 23:00,4977.12,20.27,TRADE
VIC1,2008/1/1 23:30,5253.84,21.19,TRADE
VIC1,2008/1/2 0:00,5088,21.25,TRADE
VIC1,2008/1/2 0:30,4833.96,19.5,TRADE
VIC1,2008/1/2 1:00,4713.32,19,TRADE
VIC1,2008/1/2 1:30,5058.98,19.66,TRADE
VIC1,2008/1/2 2:00,4824.18,17.34,TRADE
VIC1,2008/1/2 2:30,4601.19,13.41,TRADE
VIC1,2008/1/2 3:00,4452.68,13.96,TRADE
VIC1,2008/1/2 3:30,4359.83,12.64,TRADE
VIC1,2008/1/2 4:00,4373.26,14.4,TRADE
VIC1,2008/1/2 4:30,4414.66,15.27,TRADE
VIC1,2008/1/2 5:00,4511.01,16.96,TRADE
VIC1,2008/1/2 5:30,4705.71,19.09,TRADE
VIC1,2008/1/2 6:00,4882.66,18.8,TRADE
VIC1,2008/1/2 6:30,5178.57,21.21,TRADE
VIC1,2008/1/2 7:00,5404.16,20.98,TRADE
VIC1,2008/1/2 7:30,5466.35,20.49,TRADE
VIC1,2008/1/2 8:00,5665.9,22.95,TRADE
VIC1,2008/1/2 8:30,5869.13,35.02,TRADE
VIC1,2008/1/2 9:00,5951.06,33.96,TRADE
VIC1,2008/1/2 9:30,6032.97,34.62,TRADE
VIC1,2008/1/2 10:00,5959.86,34.88,TRADE
VIC1,2008/1/2 10:30,6186.39,42.62,TRADE
VIC1,2008/1/2 11:00,6305.05,46.06,TRADE
VIC1,2008/1/2 11:30,6379.23,45.87,TRADE
VIC1,2008/1/2 12:00,6415.41,45.52,TRADE
VIC1,2008/1/2 12:30,6445.27,45.19,TRADE
VIC1,2008/1/2 13:00,6480.69,44.99,TRADE
VIC1,2008/1/2 13:30,6509.09,44.92,TRADE
VIC1,2008/1/2 14:00,6503.72,44.74,TRADE
VIC1,2008/1/2 14:30,6504.49,44.67,TRADE
VIC1,2008/1/2 15:00,6591.02,45.05,TRADE
VIC1,2008/1/2 15:30,6558.06,44.54,TRADE
VIC1,2008/1/2 16:00,6535.57,43.59,TRADE
VIC1,2008/1/2 16:30,6521.64,42.96,TRADE
VIC1,2008/1/2 17:00,6427.42,42.57,TRADE
VIC1,2008/1/2 17:30,6200.15,33.28,TRADE
VIC1,2008/1/2 18:00,5992.02,32.21,TRADE
VIC1,2008/1/2 18:30,5775.87,26.33,TRADE
VIC1,2008/1/2 19:00,5590.99,20.17,TRADE
VIC1,2008/1/2 19:30,5452.74,19.27,TRADE
VIC1,2008/1/2 20:00,5445.37,26.28,TRADE
VIC1,2008/1/2 20:30,5507.39,28.34,TRADE
VIC1,2008/1/2 21:00,5437.51,23.33,TRADE
VIC1,2008/1/2 21:30,5277.51,22.15,TRADE
VIC1,2008/1/2 22:00,5084.69,19.75,TRADE
VIC1,2008/1/2 22:30,4934.99,20.64,TRADE
VIC1,2008/1/2 23:00,4859.8,22.39,TRADE
VIC1,2008/1/2 23:30,5190.11,26.41,TRADE
VIC1,2008/1/3 0:00,5024.62,26.34,TRADE
VIC1,2008/1/3 0:30,4840.09,22.28,TRADE
VIC1,2008/1/3 1:00,4679.7,20.07,TRADE
VIC1,2008/1/3 1:30,5075.58,21.56,TRADE
VIC1,2008/1/3 2:00,4877.79,19.73,TRADE
VIC1,2008/1/3 2:30,4634.25,19.03,TRADE
VIC1,2008/1/3 3:00,4471.29,18.6,TRADE
VIC1,2008/1/3 3:30,4381.09,18.48,TRADE
VIC1,2008/1/3 4:00,4350.29,18.33,TRADE
VIC1,2008/1/3 4:30,4416.44,18.36,TRADE
VIC1,2008/1/3 5:00,4521.1,18.72,TRADE
VIC1,2008/1/3 5:30,4662.53,19.62,TRADE
VIC1,2008/1/3 6:00,4884.18,19.44,TRADE
VIC1,2008/1/3 6:30,5185.07,21.43,TRADE
