REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2013/1/1 0:30,4652.88,43.31,TRADE
VIC1,2013/1/1 1:00,4447.73,42.86,TRADE
VIC1,2013/1/1 1:30,4487.48,41.64,TRADE
VIC1,2013/1/1 2:00,4329.87,39.84,TRADE
VIC1,2013/1/1 2:30,4162.36,39.53,TRADE
VIC1,2013/1/1 3:00,4022.83,38.98,TRADE
VIC1,2013/1/1 3:30,3908.69,35.19,TRADE
VIC1,2013/1/1 4:00,3892.5,36.42,TRADE
VIC1,2013/1/1 4:30,3894.27,37.87,TRADE
VIC1,2013/1/1 5:00,3884.55,36.55,TRADE
VIC1,2013/1/1 5:30,3865.07,37.38,TRADE
VIC1,2013/1/1 6:00,3876.32,34.93,TRADE
VIC1,2013/1/1 6:30,3926.46,37.52,TRADE
VIC1,2013/1/1 7:00,4010.33,38.78,TRADE
VIC1,2013/1/1 7:30,3984.63,38.56,TRADE
VIC1,2013/1/1 8:00,4103.21,38.75,TRADE
VIC1,2013/1/1 8:30,4193.34,38.82,TRADE
VIC1,2013/1/1 9:00,4244.84,38.78,TRADE
VIC1,2013/1/1 9:30,4336.95,39.18,TRADE
VIC1,2013/1/1 10:00,4411.24,39.37,TRADE
VIC1,2013/1/1 10:30,4478.24,39.37,TRADE
VIC1,2013/1/1 11:00,4518.02,39.38,TRADE
VIC1,2013/1/1 11:30,4547.09,39.37,TRADE
VIC1,2013/1/1 12:00,4585.7,39.37,TRADE
VIC1,2013/1/1 12:30,4610.68,39.37,TRADE
VIC1,2013/1/1 13:00,4606.21,39.37,TRADE
VIC1,2013/1/1 13:30,4604.14,39.37,TRADE
VIC1,2013/1/1 14:00,4617.45,39.37,TRADE
VIC1,2013/1/1 14:30,4700.62,39.37,TRADE
VIC1,2013/1/1 15:00,4721.54,39.37,TRADE
VIC1,2013/1/1 15:30,4796.43,39.44,TRADE
VIC1,2013/1/1 16:00,4855.21,39.59,TRADE
VIC1,2013/1/1 16:30,4932.82,40.61,TRADE
VIC1,2013/1/1 17:00,4982.14,40.62,TRADE
VIC1,2013/1/1 17:30,5002.43,39.86,TRADE
VIC1,2013/1/1 18:00,4945.11,38.69,TRADE
VIC1,2013/1/1 18:30,4843.67,40.07,TRADE
VIC1,2013/1/1 19:00,4772.23,40.15,TRADE
VIC1,2013/1/1 19:30,4696.31,41.55,TRADE
VIC1,2013/1/1 20:00,4713.44,42.43,TRADE
VIC1,2013/1/1 20:30,4793.23,43.37,TRADE
VIC1,2013/1/1 21:00,4719.02,42.39,TRADE
VIC1,2013/1/1 21:30,4574.81,41.56,TRADE
VIC1,2013/1/1 22:00,4441.5,39.64,TRADE
VIC1,2013/1/1 22:30,4387.57,39.94,TRADE
VIC1,2013/1/1 23:00,4380.67,39.15,TRADE
VIC1,2013/1/1 23:30,4643.73,39.66,TRADE
VIC1,2013/1/2 0:00,4611.09,40.5,TRADE
VIC1,2013/1/2 0:30,4299.9,39.1,TRADE
VIC1,2013/1/2 1:00,4101.3,37.99,TRADE
VIC1,2013/1/2 1:30,4240.61,38.92,TRADE
VIC1,2013/1/2 2:00,4173,37.9,TRADE
VIC1,2013/1/2 2:30,4059.64,34.28,TRADE
VIC1,2013/1/2 3:00,3980.54,34.33,TRADE
VIC1,2013/1/2 3:30,3971.12,37.62,TRADE
VIC1,2013/1/2 4:00,3967.04,37.48,TRADE
VIC1,2013/1/2 4:30,4046.49,38.96,TRADE
VIC1,2013/1/2 5:00,4145.11,39.37,TRADE
VIC1,2013/1/2 5:30,4331.48,39.37,TRADE
VIC1,2013/1/2 6:00,4485.43,39.87,TRADE
VIC1,2013/1/2 6:30,4693.55,42.24,TRADE
VIC1,2013/1/2 7:00,4895.01,43.57,TRADE
VIC1,2013/1/2 7:30,4901.59,42.91,TRADE
VIC1,2013/1/2 8:00,5051.42,44.13,TRADE
VIC1,2013/1/2 8:30,5162.1,44.45,TRADE
VIC1,2013/1/2 9:00,5205.6,44.25,TRADE
VIC1,2013/1/2 9:30,5292.31,44.99,TRADE
VIC1,2013/1/2 10:00,5312.56,44.9,TRADE
VIC1,2013/1/2 10:30,5335.82,45.37,TRADE
VIC1,2013/1/2 11:00,5341.47,46.27,TRADE
VIC1,2013/1/2 11:30,5343.23,46.16,TRADE
VIC1,2013/1/2 12:00,5355.11,45.01,TRADE
VIC1,2013/1/2 12:30,5317.73,44.43,TRADE
VIC1,2013/1/2 13:00,5369.07,46.42,TRADE
VIC1,2013/1/2 13:30,5363.01,46.82,TRADE
VIC1,2013/1/2 14:00,5398.15,47.07,TRADE
VIC1,2013/1/2 14:30,5416.35,46.97,TRADE
VIC1,2013/1/2 15:00,5458.29,46.86,TRADE
VIC1,2013/1/2 15:30,5526.91,47.43,TRADE
VIC1,2013/1/2 16:00,5647.7,48.19,TRADE
VIC1,2013/1/2 16:30,5625.47,49.4,TRADE
VIC1,2013/1/2 17:00,5645.19,49.48,TRADE
VIC1,2013/1/2 17:30,5562.36,48.05,TRADE
VIC1,2013/1/2 18:00,5505.73,47.8,TRADE
VIC1,2013/1/2 18:30,5401.17,47,TRADE
VIC1,2013/1/2 19:00,5330.36,47,TRADE
VIC1,2013/1/2 19:30,5237.8,46.86,TRADE
VIC1,2013/1/2 20:00,5261.11,47,TRADE
VIC1,2013/1/2 20:30,5307.69,47,TRADE
VIC1,2013/1/2 21:00,5193.85,46.77,TRADE
VIC1,2013/1/2 21:30,5084.69,46.84,TRADE
VIC1,2013/1/2 22:00,4929.66,45.01,TRADE
VIC1,2013/1/2 22:30,4844.62,47.05,TRADE
VIC1,2013/1/2 23:00,4782.55,46.57,TRADE
VIC1,2013/1/2 23:30,5021.21,47.86,TRADE
VIC1,2013/1/3 0:00,4951.47,47.42,TRADE
VIC1,2013/1/3 0:30,4674.32,45.13,TRADE
VIC1,2013/1/3 1:00,4475.03,38.39,TRADE
VIC1,2013/1/3 1:30,4606.14,39.61,TRADE
VIC1,2013/1/3 2:00,4473.08,33.49,TRADE
VIC1,2013/1/3 2:30,4333,36.01,TRADE
VIC1,2013/1/3 3:00,4258.86,34.48,TRADE
VIC1,2013/1/3 3:30,4239.54,37.31,TRADE
VIC1,2013/1/3 4:00,4244.53,35.01,TRADE
VIC1,2013/1/3 4:30,4303.91,38.48,TRADE
VIC1,2013/1/3 5:00,4376.59,41.09,TRADE
VIC1,2013/1/3 5:30,4445.06,42.77,TRADE
VIC1,2013/1/3 6:00,4597.32,42.63,TRADE
VIC1,2013/1/3 6:30,4880.14,42.39,TRADE
VIC1,2013/1/3 7:00,5124.5,44.14,TRADE
VIC1,2013/1/3 7:30,5200.77,44.6,TRADE
VIC1,2013/1/3 8:00,5370.53,44.68,TRADE
VIC1,2013/1/3 8:30,5526.36,45.78,TRADE
VIC1,2013/1/3 9:00,5615.99,45.42,TRADE
VIC1,2013/1/3 9:30,5750.01,46.32,TRADE
VIC1,2013/1/3 10:00,5872.72,46.97,TRADE
VIC1,2013/1/3 10:30,5995.45,47,TRADE
VIC1,2013/1/3 11:00,6173.36,47,TRADE
VIC1,2013/1/3 11:30,6118.2,46.65,TRADE
VIC1,2013/1/3 12:00,6502.96,47.41,TRADE
VIC1,2013/1/3 12:30,6608.57,47.3,TRADE
VIC1,2013/1/3 13:00,6751.17,45.25,TRADE
VIC1,2013/1/3 13:30,6952.47,47.48,TRADE
VIC1,2013/1/3 14:00,7144.36,47.61,TRADE
